sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
148,28,2.8000000000000003,1,215635.2924462,215635.3181021,25.055799982510507,25.655899982666597,21.315399993909523,2.3148999898694456,0.0,True,ok,4508,4508
149,29,2.9000000000000004,1,215635.3259467,215635.3526921,26.13569999812171,26.745399984065443,22.537600016221404,2.0462000102270395,0.0,True,ok,4516,4516
150,30,3.0,1,215635.3587783,215635.3867763,27.51189999980852,27.99800000502728,23.645699984626845,2.4689999991096556,0.0,True,ok,4326,4326
151,31,3.1,1,215635.3923545,215635.4222781,29.458300006808713,29.923599999165162,25.647300004493445,2.201499999500811,0.0,True,ok,4407,4407
152,32,3.2,1,215635.4259221,215635.4530391,26.530699979048222,27.116999990539625,22.33539998997003,2.7018999971915036,0.0,True,ok,4113,4113
153,33,3.3000000000000003,1,215635.4588723,215635.4828098,23.449900007108226,23.937500023748726,19.9441000004299,2.1792999759782106,0.0,True,ok,4211,4211
154,34,3.4000000000000004,1,215635.4922497,215635.5179771,25.00660001533106,25.727400003233925,21.45219998783432,2.1670999994967133,0.0,True,ok,4198,4198
155,35,3.5,1,215635.5256599,215635.5512129,24.87170000676997,25.55299998493865,20.998099993448704,2.320500003406778,0.0,True,ok,4125,4125
156,36,3.6,1,215635.5591006,215635.5852939,25.696199998492375,26.19330000015907,22.10270002251491,2.2973000013735145,0.0,True,ok,4267,4267
157,37,3.7,1,215635.5924923,215635.6170238,23.306799994315952,24.531500006560236,20.024400000693277,2.034499979345128,0.0,True,ok,3805,3805
158,38,3.8000000000000003,1,215635.6258974,215635.6499674,23.619100014911965,24.07000001403503,19.952500006183982,2.3421999940183014,0.0,True,ok,3921,3921
159,39,3.9000000000000004,1,215635.6589785,215635.683911,23.902199987787753,24.93250000406988,20.194799988530576,2.374000003328547,0.0,True,ok,3864,3864
160,40,4.0,1,215635.6925338,215635.7189748,25.306800001999363,26.440999994520098,21.074699994642287,2.0446000271476805,0.0,True,ok,3828,3828
161,41,4.1000000000000005,1,215635.7258972,215635.7524013,25.417299999389797,26.504100009333342,22.040899988496676,2.0853999885730445,0.0,True,ok,3659,3659
