sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
67,67,6.7,0,215324.2517924,215324.2575847,5.295500013744459,5.792300013126805,2.0877000060863793,1.9585000118240714,0.0,True,ok,4086,4086
68,68,6.800000000000001,0,215324.285031,215324.2915918,6.01819998701103,6.560799985891208,2.5265000003855675,2.227599994512275,0.0,True,ok,4379,4379
69,69,6.9,0,215324.3186723,215324.3253229,5.9738999989349395,6.650600000284612,2.3572999925818294,2.246000018203631,0.0,True,ok,4282,4282
70,70,7.0,0,215324.3517227,215324.3581918,5.784400011179969,6.469100015237927,2.219699992565438,2.198600006522611,0.0,True,ok,4247,4247
71,71,7.1000000000000005,0,215324.3853183,215324.3916186,5.781699990620837,6.300300010479987,2.2422000183723867,2.1056999976281077,33.59559999080375,True,ok,4354,4354
72,72,7.2,0,215324.4186402,215324.4253375,5.937999987509102,6.697300006635487,2.4036000249907374,2.188899990869686,0.0,True,ok,4628,4628
73,73,7.300000000000001,0,215324.4520466,215324.4584889,5.5176000169012696,6.442300014896318,2.1826000011060387,2.006199996685609,0.0,True,ok,4287,4287
74,74,7.4,0,215324.4850321,215324.4914878,5.844300001626834,6.455700000515208,2.286499977344647,2.2410000092349946,0.0,True,ok,4455,4455
75,75,7.5,0,215324.5186824,215324.5249654,5.654399981722236,6.282999995164573,2.170699997805059,1.9690000044647604,0.0,True,ok,4560,4560
76,76,7.6000000000000005,0,215324.5521508,215324.5595636,6.931699987035245,7.4127999832853675,3.6570999945979565,1.959000015631318,0.0,True,ok,4662,4662
77,77,7.7,0,215324.5850721,215324.5914406,5.658099980792031,6.368500005919486,2.1881000138819218,1.9475999870337546,0.0,True,ok,4381,4381
78,78,7.800000000000001,0,215324.6187923,215324.6251445,5.751999997301027,6.352199998218566,2.263600006699562,2.147099992725998,0.0,True,ok,4350,4350
79,79,7.9,0,215324.6516557,215324.6578676,5.613400018773973,6.211900006746873,2.281499997479841,2.0260999735910445,0.0,True,ok,4058,4058
80,80,8.0,0,215324.6852581,215324.6918805,5.908899998757988,6.622399989282712,2.6993000064976513,1.894799992442131,0.0,True,ok,4074,4074
81,81,8.1,0,215324.7185398,215324.7247917,5.5961000034585595,6.251899991184473,2.3117999953683466,1.9727000035345554,0.0,True,ok,4080,4080
