clip,frame,time_s,mode,post_ms,core_ms,processing_ms,alpha_area_px,status
thermal_assumed,19,1.9,continuous,2.9421999934129417,19.238000008044764,22.180200001457706,7889.22607421875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,19,1.9,smooth,2.892399992560968,19.238000008044764,22.130400000605732,7849.173828125,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,20,2.0,legacy_3,0.47339999582618475,19.940500002121553,20.413899997947738,10698.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,20,2.0,thin_3,2.016099984757602,19.940500002121553,21.956599986879155,7299.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,20,2.0,banded,2.323900000192225,19.940500002121553,22.264400002313778,8365.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,20,2.0,continuous,2.980199991725385,19.940500002121553,22.920699993846938,8191.7890625,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,20,2.0,smooth,3.148999996483326,19.940500002121553,23.08949999860488,8151.60595703125,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,21,2.1,legacy_3,0.42559998109936714,21.31719997851178,21.742799959611148,10572.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,21,2.1,thin_3,1.927000004798174,21.31719997851178,23.244199983309954,7365.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,21,2.1,banded,2.5461000041104853,21.31719997851178,23.863299982622266,8731.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,21,2.1,continuous,2.868799987481907,21.31719997851178,24.185999965993688,8616.8896484375,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,21,2.1,smooth,3.046500001801178,21.31719997851178,24.36369998031296,8577.4873046875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,22,2.2,legacy_3,0.46370000927709043,19.56899999640882,20.03270000568591,10551.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,22,2.2,thin_3,3.3967000199481845,19.56899999640882,22.965700016357005,7186.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,22,2.2,banded,2.3874999897088856,19.56899999640882,21.956499986117706,8683.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,22,2.2,continuous,2.8775999962817878,19.56899999640882,22.446599992690608,8619.810546875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,22,2.2,smooth,3.064300020923838,19.56899999640882,22.633300017332658,8582.4248046875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,23,2.3,legacy_3,0.5526000168174505,18.95850000437349,19.51110002119094,10271.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,23,2.3,thin_3,2.427500003250316,18.95850000437349,21.386000007623807,6973.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,23,2.3,banded,3.044399985810742,18.95850000437349,22.002899990184233,8777.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,23,2.3,continuous,3.3020999981090426,18.95850000437349,22.260600002482533,8629.6435546875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,23,2.3,smooth,2.9337999876588583,18.95850000437349,21.89229999203235,8595.9541015625,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,24,2.4,legacy_3,1.1310999980196357,18.86219999869354,19.993299996713176,10051.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,24,2.4,thin_3,5.17079999553971,18.86219999869354,24.03299999423325,6968.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,24,2.4,banded,5.422999995062128,18.86219999869354,24.28519999375567,9015.0,ASSUMED DEPTH - NOT SENSOR DATA
